"Image Link","Hotel Name","Description","Location","Occupancy","Price","Rating"
"https://cf.bstatic.com/xdata/images/hotel/square600/228776408.webp?k=fb10f845ada3f01c2ca7689ddda2a67fc1d15e3fc0eb85dd2e67de5db35814f9&o=","Best Western Plus Ottawa City Centre","Queen Room - Non-Smoking","Nepean, Ottawa","2 nights, 2 adults","CAD 317","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/480744713.webp?k=635447c34e033565940989fe8d21e2a0b8dde4ab80359556bebda007670f9189&o=","Courtyard by Marriott Ottawa Downtown","Queen Room with Two Queen Beds","Byward Market, Ottawa","2 nights, 2 adults","CAD 347","8.1"
"https://cf.bstatic.com/xdata/images/hotel/square600/527433381.webp?k=8b3a1e1c5e1fbde4343a09c6b8aa46c52e56c18a0f44598eb8a4032a9420c759&o=","Ottawa Marriott Hotel","Guest King Room","Downtown Ottawa, Ottawa","2 nights, 2 adults","CAD 385","8.0"
"https://cf.bstatic.com/xdata/images/hotel/square600/318399306.webp?k=a61ea21cfd0c22576710653a7848adcca7606364e76f43011558f649f2ccd37b&o=","Hyatt Place Ottawa West","King Room with Sofa Bed","Ottawa","2 nights, 2 adults","CAD 396","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/474952168.webp?k=b5c843e62549951effd1fb87f7df6c9c5bbce8ad7d757b05f4f425eb212e88dc&o=","Hampton Inn & Suites Ottawa West, Ontario, Canada","Queen Room with Two Queen Beds","Ottawa","2 nights, 2 adults","CAD 324","8.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/91568802.webp?k=11ce408e80c884df2e66e0b518ad134992e2106f55b8bf48f5576147a80d4694&o=","Ottawa Embassy Hotel & Suites","Deluxe King Room","Ottawa","2 nights, 2 adults","CAD 323","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/285581748.webp?k=040f206e7aa0e6518a613dc22c5a9bf00184ab2645bb18a83119474221788baf&o=","Alt Hotel Ottawa","Queen Room","Downtown Ottawa, Ottawa","2 nights, 2 adults","CAD 378","8.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/230572210.webp?k=da239a08a4d53192db3c3b1a2c26f028e539bfbe44367f4750350d482537e277&o=","Holiday Inn Express Hotel & Suites Ottawa West-Nepean, an IHG Hotel","Standard Room","Ottawa","2 nights, 2 adults","CAD 304","8.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/485837566.webp?k=db433c47827649b90431932920c816df580cc5fc201a7e2d5ff47f31aea4d856&o=","Hampton Inn by Hilton Ottawa Airport","Queen Room with Two Queen Beds (4 Adults)","Ottawa","2 nights, 2 adults","CAD 285","8.5"
"https://cf.bstatic.com/xdata/images/hotel/square600/477403220.webp?k=41112ad8985fda69594d821264cb7fb01f852f0f8da2f15e6f9e9868bad8476b&o=","Les Suites Hotel","Classic One Bedroom Suite","Ottawa","2 nights, 2 adults","CAD 390","7.7"
"https://cf.bstatic.com/xdata/images/hotel/square600/135454467.webp?k=efc1acdffa292aaee0955f33ebbcdf68481b9fbd514b584fd11a6027c22a03f1&o=","Days Inn by Wyndham Ottawa Airport","King Room - Non-Smoking","Ottawa","2 nights, 2 adults","CAD 294","7.4"
"https://cf.bstatic.com/xdata/images/hotel/square600/415045833.webp?k=b4f975ddaf890740609bc250ce91a215359dba8e7b4fd23f58122d28b9a02848&o=","Ramada by Wyndham Ottawa On The Rideau","2 Double Beds, Standard, Non-Smoking","Ottawa","2 nights, 2 adults","CAD 262","7.2"
"https://cf.bstatic.com/xdata/images/hotel/square600/354225852.webp?k=b71b76846b17745d0a8ff2fb474bfa24292569d167da598dc5890d676e0379ee&o=","Comfort Inn Ottawa East","Room, 2 double beds, 2nd Floor, Non-Smoking","Ottawa","2 nights, 2 adults","CAD 307","7.3"
"https://cf.bstatic.com/xdata/images/hotel/square600/233920938.webp?k=cf0c3d1888b4c0f8351884856740626c7a0421e727c13e3fe39cd46839298098&o=","Holiday Inn Express & Suites Ottawa East-Orleans, an IHG Hotel","Standard King Room","Ottawa","2 nights, 2 adults","CAD 302","8.4"
